"Long","Lat","Acacia"
"38.06457",2.45789,1
"38.06457",2.45789,1
"38.20069",2.19347,1
"38.25906",2.11664,1
"38.275",2.1298,1
"38.22306",2.18215,1
"38.23998",2.17102,1
"38.25245",2.16372,1
"38.2924",2.14126,1
"38.32886",2.18025,1
"38.36536",2.07221,1
"38.36536",2.07221,1
"38.31938",2.11519,1
"38.28941",2.12996,1
"38.28932",2.12953,1
"38.27904",2.14616,1
"38.27598",2.12911,1
"38.28804",2.06944,1
"38.27598",2.12911,1
"38.28804",2.06944,1
"38.27847",2.06076,1
"37.59346",0.73006,1
"37.59424",0.73079,1
"37.35469",0.83484,1
"37.35439",0.83484,1
"37.35399",0.83481,1
"37.35249",0.8344,1
"37.34551",0.83271,1
"37.34175",0.83192,1
"37.33856",0.83014,1
"37.33869",0.81185,1
"37.33943",0.8105,1
"37.34003",0.809,1
"37.34073",0.80701,1
"37.34144",0.80396,1
"37.34201",0.80262,1
"37.34329",0.8,1
"37.34412",0.79751,1
"37.34413",0.79743,1
"37.34415",0.79734,1
"37.34428",0.79666,1
"37.34431",0.79658,1
"37.34458",0.79584,1
"37.34447",0.79558,1
"37.3449",0.7947,1
"37.34493",0.79458,1
"37.34496",0.79443,1
"37.34499",0.79424,1
"37.34503",0.79405,1
"37.34511",0.79365,1
"37.34795",0.7808,1
"37.34793",0.78065,1
"37.35292",0.73727,1
"37.3454",0.83299,1
"37.35421",0.8349,1
"37.3532",0.83469,1
"37.35153",0.83421,1
"37.33445",0.82631,1
"37.51846",0.69743,1
"37.55848",0.70193,1
"37.60318",0.71707,1
"37.60222",0.71632,1
"37.6022",0.71631,1
"37.52352",0.69728,1
"37.58297",0.70418,1
"37.52117",0.69773,1
"37.52678",0.69817,1
"37.51676",0.69782,1
"37.52065",0.69715,1
"37.56129",0.7012,1
"37.55769",0.70267,1
"37.5827",0.71051,1
"37.52331",0.69707,1
"37.51663",0.70904,1
"37.56914",0.69413,1
"37.55849",0.70192,1
"37.58202",0.70275,1
"37.56994",0.69429,1
"37.58113",0.70374,1
"37.51728",0.69782,1
"37.34916",0.6945,1
"37.34918",0.69426,1
"37.35396",0.65503,1
"37.37747",0.63476,1
"37.39053",0.62661,1
"37.37998",0.63283,1
"37.3492",0.69395,1
"37.13922",0.63036,1
"37.13869",0.6304,1
"37.13865",0.6305,1
"37.1385",0.63058,1
"37.13847",0.63057,1
"37.1383",0.63037,1
"37.13885",0.62822,1
"37.13985",0.62809,1
"37.13986",0.62811,1
"37.14125",0.62837,1
"37.14128",0.62837,1
"37.12018",0.58958,1
"37.12029",0.5894,1
"37.12067",0.58916,1
"37.12063",0.58938,1
"37.14222",0.63022,1
"37.14067",0.63032,1
"37.33672",0.62734,1
"37.33672",0.62734,1
"37.24243",0.60727,1
"37.30694",0.5791,1
"37.24923",0.58048,1
"37.24951",0.58018,1
"37.25",0.58012,1
"37.25033",0.57999,1
"37.25035",0.57959,1
"37.2503",0.57913,1
"37.25024",0.57882,1
"37.24988",0.57863,1
"37.2498",0.5785,1
"37.2495",0.57831,1
"37.24909",0.57831,1
"37.24863",0.57856,1
"37.2486",0.57857,1
"37.24859",0.5786,1
"37.24858",0.57862,1
"37.2484",0.57875,1
"37.24839",0.57875,1
"37.24801",0.57889,1
"37.24762",0.57909,1
"37.3033",0.58292,1
"37.304",0.5824,1
"37.3041",0.58234,1
"37.30556",0.58137,1
"37.30621",0.5809,1
"37.30791",0.57978,1
"37.30985",0.57904,1
"37.31196",0.57815,1
"37.31349",0.57702,1
"37.30743",0.57973,1
"37.30117",0.58438,1
"37.30815",0.57914,1
"37.30696",0.579,1
"37.11651",0.58707,1
"37.24734",0.58137,1
"37.24822",0.58098,1
"37.25044",0.57997,1
"37.1178",0.58712,1
"37.62405",0.50644,1
"37.44087",0.43505,1
"37.44583",0.40579,1
"37.43986",0.45505,1
